name,slug,city,country,address,website_url,curriculum,age_range,religious_environment,price_min,price_max,summary,school_level,logo_url,cover_image_url,status
Pine Hills International School,pine-hills-international-school-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",https://pinehills.edu.my/,,6 to 19 years,Not specified,0,0,International School,All-through,,,active
Inspiros International School,inspiros-international-school-puchong,Puchong,Malaysia,"Bandar Puteri Puchong, Selangor",https://www.inspiros.edu.my/,British,3 to 19 years,Not specified,10000,26000,"Preschool, International School",All-through,,,active
Alice Smith School - Secondary Campus,alice-smith-school-secondary-seri-kembangan,Seri Kembangan,Malaysia,"Seri Kembangan, Selangor",https://www.alice-smith.edu.my/,British,11 to 18 years,Not specified,28560,31100,International School,Secondary,,,active
Kingsgate International School,kingsgate-international-school-seri-kembangan,Seri Kembangan,Malaysia,"Seri Kembangan, Selangor",https://www.kingsgate.edu.my/,British,2 to 16 years,Not specified,16500,68000,"Preschool, International School",Primary to Secondary,,,active
Portman International Secondary School,portman-international-secondary-school-selangor,Selangor,Malaysia,Selangor,,International,13 to 17 years,Not specified,0,0,International School,Secondary,,,active
Asia Pacific International School (APIS),asia-pacific-international-school-apis-bukit-subang,Bukit Subang,Malaysia,"Bukit Subang, Selangor",https://apis.edu.my/,,3 to 17 years,Not specified,12330,39420,"Preschool, International School",Primary to Secondary,,,active
Premfield International Secondary School,premfield-international-secondary-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",,Cambridge IGCSE,13 to 17 years,Not specified,0,0,International School,Secondary,,,active
Australian International School Malaysia (AISM),australian-international-school-malaysia-aism-seri-kembangan,Seri Kembangan,Malaysia,"Seri Kembangan, Selangor",https://www.aism.edu.my/,Australian,4 to 19 years,Not specified,10176,28296,"Preschool, International School",All-through,,,active
RIZQ Islamic School (RIS),rizq-islamic-school-ris-kajang,Kajang,Malaysia,"Kajang, Selangor",https://rizq.edu.my/,,0 to 0 years,Islamic,6000,8400,"Preschool, Private School",Primary to Secondary,,,active
Prime International Secondary School,prime-international-secondary-school-puchong,Puchong,Malaysia,"Puchong, Selangor",,Cambridge IGCSE,13 to 17 years,Not specified,0,0,International School,Secondary,,,active
Baseerah International School,baseerah-international-school-batu-caves,Batu Caves,Malaysia,"Batu Caves, Selangor",https://baseerah.edu.my/,Praxis,4 to 16 years,Islamic,9500,18000,"Preschool, International School",Primary to Secondary,,,active
The British International School Kuala Lumpur (BSKL),british-international-school-kuala-lumpur-bskl-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://www.nordangliaeducation.com/bis-kuala-lumpur,British|Praxis|Pursuits,2 to 18 years,Not specified,45600,99970,"Preschool, International School",All-through,https://www.nordangliaeducation.com/bis-kuala-lumpur/-/media/biskl-logo.png,https://www.nordangliaeducation.com/bis-kuala-lumpur/-/media/biskl-campus.jpg,active
Qosmo International School,qosmo-international-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://qosmo.edu.my/,Cambridge IGCSE,4 to 17 years,Not specified,18660,29670,International School,Primary to Secondary,,,active
Reed International School,reed-international-school-selangor,Selangor,Malaysia,Selangor,,,5 to 16 years,Not specified,0,0,International School,Primary to Secondary,,,active
elc International School - Sungai Buloh Campus,elc-international-school-sungai-buloh,Sungai Buloh,Malaysia,"Sungai Buloh, Selangor",https://www.elc.edu.my/,British,3 to 16 years,Not specified,13200,37500,"Preschool, International School",Primary to Secondary,,,active
SAINT International School,saint-international-school-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",,British|Cambridge IGCSE,3 to 18 years,Not specified,0,0,International School,All-through,,,active
elc International School - Cyberjaya Campus,elc-international-school-cyberjaya,Cyberjaya,Malaysia,"Cyberjaya, Selangor",https://www.elc.edu.my/,British,3 to 16 years,Not specified,4600,14790,"Preschool, International School",Primary to Secondary,,,active
Fairview International School - Subang Jaya Campus,fairview-international-school-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",https://www.fairview.edu.my/,International Baccalaureate (IB),4 to 17 years,Not specified,20000,45000,International School,Primary to Secondary,,,active
STARS International School,stars-international-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",,Cambridge IGCSE,7 to 18 years,Not specified,0,0,International School,Primary to Secondary,,,active
Sunnybank Hills Special Needs School,sunnybank-hills-special-needs-school-puchong,Puchong,Malaysia,"Puchong, Selangor",,,3 to 17 years,Not specified,0,0,International School,Primary to Secondary,,,active
HELP International School,help-international-school-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://his.edu.my/,British,4 to 18 years,Not specified,21830,50000,"Preschool, International School",All-through,https://his.edu.my/wp-content/uploads/2021/03/HELP-Logo.png,https://his.edu.my/wp-content/uploads/2021/03/Campus-Building.jpg,active
Suria International School,suria-international-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",,Cambridge IGCSE,7 to 17 years,Not specified,0,0,International School,Primary to Secondary,,,active
Global Modern International School (GMiS),global-modern-international-school-gmis-kajang,Kajang,Malaysia,"Kajang, Selangor",,,3 to 16 years,Not specified,11610,18690,"Preschool, International School",Primary to Secondary,,,active
Victoria International School,victoria-international-school-banting,Banting,Malaysia,"Banting, Selangor",,British,4 to 18 years,Not specified,5880,21000,"Preschool, International School",All-through,,,active
MAZ International School - PJ Campus,maz-international-school-pj-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://mazschools.edu.my/,British,3 to 17 years,Not specified,3500,8300,"Preschool, International School, Boarding School",Primary to Secondary,,,active
MAZ International School - Shah Alam Campus,maz-international-school-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://mazschools.edu.my/,British,3 to 18 years,Not specified,10500,30000,"Preschool, International School, Boarding School",All-through,,,active
King Henry VIII College,king-henry-viii-college-cyberjaya,Cyberjaya,Malaysia,"Cyberjaya, Selangor",https://khviii.edu.my/,British,3 to 18 years,Not specified,15000,80000,"Preschool, International School, Boarding School",All-through,,,active
Rafflesia International School Puchong,rafflesia-international-school-puchong,Puchong,Malaysia,"Puchong, Selangor",https://www.rafflesia.edu.my/,Cambridge Assessment International Education,3 to 16 years,Not specified,5000,15120,"Preschool, Private School, International School",Primary to Secondary,,,active
Regent International School - Klang Campus,regent-international-school-klang,Klang,Malaysia,"Klang, Selangor",,British,5 to 16 years,Not specified,0,0,International School,Primary to Secondary,,,active
Sri KDU International School - Kota Damansara,sri-kdu-international-school-kota-damansara,Kota Damansara,Malaysia,"Kota Damansara, Selangor",https://srikdu.edu.my/,British|Praxis,7 to 18 years,Not specified,38000,58000,International School,Primary to Secondary,https://srikdu.edu.my/wp-content/uploads/2021/05/Sri-KDU-Logo.png,https://srikdu.edu.my/wp-content/uploads/2021/05/Campus.jpg,active
Sunway International School,sunway-international-school-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",https://sunwayschools.edu.my/,Canadian,12 to 17 years,Not specified,22900,52900,"International School, Boarding School",Secondary,https://sunwayschools.edu.my/wp-content/uploads/2021/02/Sunway-Logo.png,https://sunwayschools.edu.my/wp-content/uploads/2021/02/Sunway-Campus.jpg,active
Tanarata International School,tanarata-international-school-kajang,Kajang,Malaysia,"Kajang, Selangor",https://www.tanarata.net/,British,5 to 18 years,Not specified,6300,10800,International School,All-through,,,active
UCSI International School,ucsi-international-school-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",https://www.ucsiinternationalschool.edu.my/,,3 to 17 years,Not specified,3850,10990,"Preschool, International School",Primary to Secondary,,,active
REAL Schools Shah Alam,real-schools-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://realschools.edu.my/,,3 to 17 years,Not specified,0,0,Private School,Primary to Secondary,,,active
Beaconhouse International School - Sri Inai Campus,beaconhouse-international-school-sri-inai-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://beaconhouse.edu.my/,British|Praxis,4 to 16 years,Not specified,5600,11030,International School,Primary to Secondary,,,active
Asia Pacific School (APS),asia-pacific-school-aps-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",,British,3 to 17 years,Not specified,4550,21760,Private School,Primary to Secondary,,,active
Sekolah Sri KDU - Kota Damansara,sekolah-sri-kdu-kota-damansara-selangor,Kota Damansara,Malaysia,"Kota Damansara, Selangor",,,7 to 12 years,Not specified,21000,23000,Private School,Primary,,,active
Sekolah Sri KDU - Secondary Campus,sekolah-sri-kdu-secondary-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",,,13 to 17 years,Not specified,23000,27000,Private School,Secondary,,,active
Sekolah Sri Cempaka,sekolah-sri-cempaka-cheras,Cheras,Malaysia,"Cheras, Selangor",,,7 to 17 years,Not specified,18000,53100,"Preschool, Private School",Primary to Secondary,,,active
Rafflesia Private School Puchong,rafflesia-private-school-puchong,Puchong,Malaysia,"Puchong, Selangor",,,7 to 17 years,Not specified,0,0,Private School,Primary to Secondary,,,active
