name,slug,city,country,address,website_url,curriculum,age_range,religious_environment,price_min,price_max,summary,school_level,logo_url,cover_image_url,status
The International School of Kuala Lumpur (ISKL),the-international-school-of-kuala-lumpur-iskl,Kuala Lumpur,Malaysia,Kuala Lumpur,https://www.iskl.edu.my/,International Baccalaureate (IB)|International|Praxis|Pursuits,3 to 18 years,Not specified,69500,142000,International School,All-through,https://www.iskl.edu.my/wp-content/uploads/2024/logo.png,https://www.iskl.edu.my/wp-content/uploads/2024/campus-view.jpg,active
Alice Smith School,alice-smith-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://www.alice-smith.edu.my/,British,3 to 11 years,Not specified,13230,24390,"Preschool, International School",Primary,https://www.alice-smith.edu.my/images/logo.png,https://www.alice-smith.edu.my/images/campus-primary.jpg,active
Primrose Hill International School,primrose-hill-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,Kuala Lumpur,https://primrosehill.edu.my/,British,4 to 12 years,Not specified,0,0,International School,Primary,,,active
Cempaka International School - Damansara Heights Campus,cempaka-international-school-damansara-heights,Kuala Lumpur,Malaysia,"Damansara Heights, Kuala Lumpur",https://www.cempaka.edu.my/,,3 to 16 years,Not specified,38000,60000,International School,Primary to Secondary,https://www.cempaka.edu.my/images/cempaka-logo.png,https://www.cempaka.edu.my/images/campus.jpg,active
Rocklin International School,rocklin-international-school-cheras,Kuala Lumpur,Malaysia,"Cheras, Kuala Lumpur",https://rocklin.edu.my/,American,4 to 17 years,Not specified,32400,35400,International School,Primary to Secondary,,,active
Fairview International School - Kuala Lumpur Campus,fairview-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Wangsa Maju, Kuala Lumpur",https://www.fairview.edu.my/,International Baccalaureate (IB),4 to 19 years,Not specified,14000,30000,International School,All-through,https://www.fairview.edu.my/images/fairview-logo.png,https://www.fairview.edu.my/images/kl-campus.jpg,active
Sri Desa International School,sri-desa-international-school-taman-desa,Kuala Lumpur,Malaysia,"Taman Desa, Kuala Lumpur",https://sridesa.edu.my/,Cambridge IGCSE,7 to 17 years,Not specified,16000,20000,International School,Primary to Secondary,https://sridesa.edu.my/wp-content/uploads/2020/09/Sri-Desa-Logo.png,https://sridesa.edu.my/wp-content/uploads/2020/09/Campus-Front.jpg,active
Garden International School,garden-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://www.gardenschool.edu.my/,British,3 to 18 years,Not specified,15070,32820,"Preschool, International School",All-through,https://www.gardenschool.edu.my/wp-content/uploads/logo-gis.png,https://www.gardenschool.edu.my/wp-content/uploads/campus.jpg,active
Global Indian International School (GIIS),global-indian-international-school-giis-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://kuala-lumpur.globalindianschool.org/,British|CBSE,3 to 17 years,Not specified,5622,9765,"Preschool, International School",All-through,https://kuala-lumpur.globalindianschool.org/images/giis-logo.png,https://kuala-lumpur.globalindianschool.org/images/campus-kl.jpg,active
Sri Sempurna International School,sri-sempurna-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://srisempurna.edu.my/,,5 to 15 years,Not specified,10000,18000,International School,Primary to Secondary,https://srisempurna.edu.my/wp-content/uploads/2019/07/logo-ssis.png,https://srisempurna.edu.my/wp-content/uploads/2019/07/school-building.jpg,active
Tree Top International School,tree-top-international-school-segambut,Kuala Lumpur,Malaysia,"Segambut, Kuala Lumpur",https://treetop.edu.my/,Cambridge IGCSE,4 to 17 years,Not specified,14400,21600,International School,Primary to Secondary,https://treetop.edu.my/wp-content/uploads/2021/03/Treetop-Logo.png,https://treetop.edu.my/wp-content/uploads/2021/03/Treetop-Environment.jpg,active
International Islamic School Malaysia (IIS),international-islamic-school-malaysia-iis-gombak,Kuala Lumpur,Malaysia,"Gombak, Kuala Lumpur",https://www.iium-educare.edu.my/iism/,British,7 to 18 years,Islamic,6600,8800,"Private School, International School, Boarding School",Primary to Secondary,https://iism.edu.my/wp-content/uploads/2021/06/IISM-Logo.png,https://iism.edu.my/wp-content/uploads/2021/06/IISM-Campus.jpg,active
Valley International School,valley-international-school-brickfields,Kuala Lumpur,Malaysia,"Brickfields, Kuala Lumpur",https://vis.edu.my/,Cambridge IGCSE,3 to 16 years,Not specified,15000,30000,International School,Primary to Secondary,https://vis.edu.my/wp-content/uploads/2021/01/VIS-Logo.png,https://vis.edu.my/wp-content/uploads/2021/01/VIS-Building.jpg,active
Sri Bestari International School,sri-bestari-international-school-sri-damansara,Kuala Lumpur,Malaysia,"Sri Damansara, Kuala Lumpur",https://sribestari.edu.my/,British|Praxis,3 to 16 years,Not specified,14500,32256,"Preschool, International School",Primary to Secondary,https://sribestari.edu.my/wp-content/uploads/2020/05/Sri-Bestari-Logo.png,https://sribestari.edu.my/wp-content/uploads/2020/05/Campus-Shot.jpg,active
Mont' Kiara International School (M'KIS),mont-kiara-international-school-mkis-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://www.mkis.edu.my/,International Baccalaureate (IB)|American,3 to 19 years,Not specified,24205,55414,"Preschool, International School",All-through,https://www.mkis.edu.my/images/mkis-logo.png,https://www.mkis.edu.my/images/campus-bg.jpg,active
Mutiara International Grammar School (MIGS),mutiara-international-grammar-school-migs-ampang,Kuala Lumpur,Malaysia,"Ampang, Kuala Lumpur",https://migs.edu.my/,British|Montessori,3 to 18 years,Not specified,5915,16900,"Preschool, International School",All-through,https://migs.edu.my/wp-content/uploads/2020/08/MIGS-Logo.png,https://migs.edu.my/wp-content/uploads/2020/08/MIGS-Front.jpg,active
